engine_id,cycle,setting_1,setting_2,setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,rul,failure_mode,timestamp
ENGINE-004,62,0.4207752948765961,0.3222611736514336,-0.9120567167570897,518.2104982609499,649.6137209695747,1604.3183372157885,1411.042348027364,14.493436924204683,21.862487130817076,589.1472084109747,2384.7441265032044,9048.308554464506,1.3412754305553505,48.52659411706749,524.7820872413564,2389.5396156555657,8140.014237801034,8.425090971046867,0.06829231024995719,399.21499728880434,2394.3994471809547,100.31793189405401,40.10285464249168,24.175816654597863,31.169429595331575,overheating,2025-09-05 08:14:56.425218
ENGINE-001,74,-0.27629381358972255,-0.05501328998697291,-0.908702508995232,518.1921436794445,649.1291836514378,1603.3006904347576,1411.0702915430131,14.420973866558674,22.484834591179933,588.9685589687026,2380.6836884066374,9043.049355133464,1.2439243399058686,48.91977986002071,525.5146874076717,2378.5955835557334,8139.721706695436,8.394770903988867,-0.017882755961775073,399.04194213548254,2384.1915992452678,99.63239196829515,39.98621243457201,24.385505569093436,26.10655824335971,overheating,2025-09-05 20:14:56.410116
ENGINE-004,75,0.7455926501588855,0.5939753095179703,0.029959621296688964,518.4526747731558,650.8909027934184,1606.5984815954243,1413.8996274421922,14.676779566767259,22.864499936210347,596.5014174137339,2393.967780298895,9054.361288390146,1.4025729037070573,49.10167826153444,525.8733882258155,2384.795857872409,8149.376689024154,8.649237163658732,0.13374210048521215,400.5816704219258,2387.4497567132166,97.96586832930397,40.62421542740988,24.555990879083712,24.311860588712793,overheating,2025-09-05 21:14:56.425788
ENGINE-002,56,0.08926174221427156,-0.8442869607824609,0.9108963828761347,519.2410955542326,647.3173716641589,1599.8520234250054,1408.129225203912,14.6057177723093,22.040030752116085,579.1017890736191,2389.065396519211,9036.241342758021,1.274770965569927,48.207340815349106,523.8756270667823,2381.9185162927374,8140.19955482188,8.288180171095451,0.015443368304057896,397.0509311606779,2378.1424086866496,100.63990533806151,40.008355158622855,23.72414744528215,46.10095771447496,normal,2025-09-05 02:14:56.415314
ENGINE-002,5,-0.5092953716675779,-0.8845356815497656,-0.2179342617452022,517.833498813104,642.5716932721494,1590.5250032027152,1401.261267083869,14.311274270558327,21.81969059273423,556.2599345648777,2376.2672111757865,9056.949751956749,1.2110371820341603,47.460916713456555,521.5439404246163,2392.9966254518463,8136.108174330548,8.427077259484548,-0.06729580520718835,392.39929074107806,2383.316061534928,99.56475399860112,38.70330138625036,23.445670072511785,90.96966220625097,normal,2025-09-02 23:14:56.411811
ENGINE-004,95,0.5522788073830441,0.07014749955842892,0.5949779554260346,517.0799103197147,653.448093407484,1611.7353296562121,1417.5013572210114,14.835805402902428,22.64139663792306,608.0468104619254,2386.7375010821233,9042.195365563794,1.3694999609163805,50.02072094765075,526.7469716394021,2383.077906652877,8150.885565040491,8.956566181534402,0.09997531911642893,403.2934869547456,2392.950045231363,99.80287367877915,40.49364057633813,24.160136390295914,1.7091165619517836,overheating,2025-09-06 17:14:56.426668
ENGINE-004,78,0.8543496754719776,0.8027737136213138,-0.8202434397987233,518.7656655398393,651.0669154015814,1607.496330678988,1413.8417733079266,14.76751428591771,22.362955530457505,598.6894711080125,2379.751266536312,9038.233970459867,1.42594078953195,49.24802686152054,525.8853596860902,2389.2245265971205,8133.975246362286,8.411465194405672,0.13807291362149027,401.67197476981744,2386.8514092835117,98.18360142409941,41.113411161825056,24.566824633872724,18.16766784490106,overheating,2025-09-06 00:14:56.425919
ENGINE-002,25,0.06314430537346233,-0.9346818784310081,-0.04880761635598389,517.4812822166402,644.5089302346635,1594.2060362702873,1403.956633773669,14.750950718295385,21.887744790272155,565.0769707187176,2384.4458012901214,9048.815331822123,1.2495341027048497,47.91395346423592,522.8390482435724,2386.896343070431,8132.275739743637,7.992301575277347,-0.010251978984903466,394.2926848710845,2390.0966905922123,98.39725184851137,39.52821168486594,23.516535311659066,73.55602348650257,normal,2025-09-03 19:14:56.412750
ENGINE-001,69,-0.6755331884350413,-0.9747849600484819,0.1195113672767647,520.3490202518304,648.8548074137025,1602.459886230241,1410.4897472395176,14.533195114384226,22.23973013736243,587.0292936621506,2389.660023539274,9043.03948242176,1.1665448962365061,48.61885446172596,525.2018808730704,2387.450252062719,8116.1055986753045,8.226538677353743,-0.08290965096148015,398.5981933452826,2383.686693177946,99.32081288410052,39.93767962059809,23.768189063322193,20.85163066130209,overheating,2025-09-05 15:14:56.409810
ENGINE-005,51,0.0013932555906197065,0.9632213112848654,0.6621688147131906,518.5216359763095,646.9141808870971,1598.5505124208157,1407.4665409317506,14.712415606836952,22.066100180656456,576.032921881617,2381.5344322694114,9050.438689356175,1.3476749727122987,48.61641409721703,523.7586457607733,2387.1896691693764,8129.86613104668,8.530412986928848,0.09157027459694436,396.578025844091,2380.430148798243,99.29784110823861,39.95610003878592,24.02362132272081,36.50258735861824,normal,2025-09-04 21:14:56.429526
